Filename; Min NDVI Value; Max NDVI Value
image_041; -0.08333333333333333; 0.047619047619047616 
image_058; -0.0053475935828877; 0.017142857142857144 
image_059; -0.012048192771084338; 0.037037037037037035 
image_060; -0.04950495049504951; 0.05660377358490566 
image_061; -0.08208955223880597; 0.09352517985611511 
image_062; -0.08888888888888889; 0.09090909090909091 
image_063; -0.10144927536231885; 0.06103286384976526 
image_064; -0.05405405405405406; 0.0582010582010582 
image_065; -0.02564102564102564; 0.044673539518900345 
image_066; -0.07407407407407407; 0.031914893617021274 
image_067; -0.13432835820895522; 0.1111111111111111 
image_068; -0.1111111111111111; 0.16556291390728478 
image_069; -0.102803738317757; 0.10317460317460317 
image_070; -0.046511627906976744; 0.07894736842105263 
image_077; -0.04100946372239748; 0.05555555555555555 
image_078; -0.056179775280898875; 0.07586206896551724 
image_079; -0.05389221556886228; 0.05825242718446602 
image_080; -0.07692307692307693; 0.14049586776859505 
image_081; -0.12; 0.12195121951219512 
image_082; -0.12941176470588237; 0.09036144578313253 
image_083; -0.12087912087912088; 0.0967741935483871 
image_084; -0.2; 0.09657320872274143 
image_085; -0.12217194570135746; 0.08333333333333333 
image_086; -0.13513513513513514; 0.07317073170731707 
image_087; -0.06976744186046512; 0.08571428571428572 
image_093; -0.09090909090909091; 0.06896551724137931 
image_094; -0.11827956989247312; 0.07428571428571429 
image_095; -0.07894736842105263; 0.06596219084344977 
image_096; -0.10344827586206896; 0.04580152671755725 
image_097; -0.19402985074626866; 0.04424778761061947 
image_098; -0.08333333333333333; 0.09090909090909091 
image_155; -0.053763440860215055; 0.04932735426008968 
image_156; -0.039603960396039604; 0.030303030303030304 
image_157; -0.04081632653061224; 0.02564102564102564 
image_158; -0.018518518518518517; 0.012448132780082987 
image_174; -0.03225806451612903; 0.05454545454545454 
image_175; -0.05357142857142857; 0.04888888888888889 
image_176; -0.07692307692307693; 0.06077213859126039 
image_177; -0.1111111111111111; 0.11666666666666667 
image_178; -0.12195121951219512; 0.10596026490066225 
image_179; -0.16981132075471697; 0.12658227848101267 
image_180; -0.1; 0.07063197026022305 
image_181; -0.07407407407407407; 0.047619047619047616 
image_182; -0.053763440860215055; 0.05263157894736842 
image_183; -0.06329113924050633; 0.05263157894736842 
image_184; -0.07246376811594203; 0.09523809523809523 
image_185; -0.06779661016949153; 0.07575757575757576 
image_186; -0.057971014492753624; 0.07692307692307693 
image_187; -0.06341463414634146; 0.07473309608540925 
image_188; -0.03954802259887006; 0.06666666666666667 
image_189; -0.041666666666666664; 0.06578947368421052 
image_190; -0.03225806451612903; 0.046511627906976744 
image_191; -0.0625; 0.05442176870748299 
image_192; -0.07142857142857142; 0.09090909090909091 
image_193; -0.038461538461538464; 0.058823529411764705 
image_194; -0.08771929824561403; 0.0625 
image_195; -0.11428571428571428; 0.16666666666666666 
image_196; -0.16923076923076924; 0.1346938775510204 
image_197; -0.16417910447761194; 0.15606936416184972 
image_198; -0.20634920634920634; 0.12138728323699421 
image_199; -0.19047619047619047; 0.112 
image_200; -0.18181818181818182; 0.14285714285714285 
image_201; -0.15555555555555556; 0.08571428571428572 
image_202; -0.09433962264150944; 0.11232876712328767 
image_203; -0.15492957746478872; 0.08300395256916997 
image_204; -0.1111111111111111; 0.09505703422053231 
image_205; -0.11764705882352941; 0.059233449477351915 
image_206; -0.1566265060240964; 0.06111111111111111 
image_207; -0.11428571428571428; 0.04666666666666667 
image_208; -0.1232876712328767; 0.03067484662576687 
image_209; -0.12941176470588237; 0.04285714285714286 
image_210; -0.11504424778761062; 0.05226480836236934 
image_211; -0.09392265193370165; 0.08088235294117647 
image_212; -0.04597701149425287; 0.09141274238227147 
